alias,baseCcy,category,ctMult,ctType,ctVal,ctValCcy,expTime,instFamily,instId,instType,lever,listTime,lotSz,maxIcebergSz,maxLmtSz,maxMktSz,maxStopSz,maxTriggerSz,maxTwapSz,minSz,optType,quoteCcy,settleCcy,state,stk,tickSz,uly
this_week,,1,1,linear,0.1,BCH,1675411200000,BCH-USDT,BCH-USDT-230203,FUTURES,75,1674202200721,1,1000000,1000000,5500,5500,1000000,1000000,1,,,USDT,live,,0.01,BCH-USDT
next_week,,1,1,linear,0.1,BCH,1676016000000,BCH-USDT,BCH-USDT-230210,FUTURES,75,1674807000270,1,1000000,1000000,5500,5500,1000000,1000000,1,,,USDT,live,,0.01,BCH-USDT
quarter,,1,1,linear,0.1,BCH,1680249600000,BCH-USDT,BCH-USDT-230331,FUTURES,75,1663315800796,1,1000000,1000000,5500,5500,1000000,1000000,1,,,USDT,live,,0.01,BCH-USDT
next_quarter,,1,1,linear,0.1,BCH,1688112000000,BCH-USDT,BCH-USDT-230630,FUTURES,75,1671178200239,1,1000000,1000000,5500,5500,1000000,1000000,1,,,USDT,live,,0.01,BCH-USDT
this_week,,1,1,linear,10,EOS,1675411200000,EOS-USDT,EOS-USDT-230203,FUTURES,75,1674202200354,1,1000000,1000000,10000,10000,1000000,1000000,1,,,USDT,live,,0.0001,EOS-USDT
next_week,,1,1,linear,10,EOS,1676016000000,EOS-USDT,EOS-USDT-230210,FUTURES,75,1674807000684,1,1000000,1000000,10000,10000,1000000,1000000,1,,,USDT,live,,0.0001,EOS-USDT
quarter,,1,1,linear,10,EOS,1680249600000,EOS-USDT,EOS-USDT-230331,FUTURES,75,1663315800860,1,1000000,1000000,10000,10000,1000000,1000000,1,,,USDT,live,,0.0001,EOS-USDT
next_quarter,,1,1,linear,10,EOS,1688112000000,EOS-USDT,EOS-USDT-230630,FUTURES,75,1671178200753,1,1000000,1000000,10000,10000,1000000,1000000,1,,,USDT,live,,0.0001,EOS-USDT
this_week,,1,1,linear,10,ETC,1675411200000,ETC-USDT,ETC-USDT-230203,FUTURES,75,1674202200721,1,1000000,1000000,500,500,1000000,1000000,1,,,USDT,live,,0.001,ETC-USDT
next_week,,1,1,linear,10,ETC,1676016000000,ETC-USDT,ETC-USDT-230210,FUTURES,75,1674807000507,1,1000000,1000000,500,500,1000000,1000000,1,,,USDT,live,,0.001,ETC-USDT
quarter,,1,1,linear,10,ETC,1680249600000,ETC-USDT,ETC-USDT-230331,FUTURES,75,1663315800143,1,1000000,1000000,500,500,1000000,1000000,1,,,USDT,live,,0.001,ETC-USDT
next_quarter,,1,1,linear,10,ETC,1688112000000,ETC-USDT,ETC-USDT-230630,FUTURES,75,1671178200581,1,1000000,1000000,500,500,1000000,1000000,1,,,USDT,live,,0.001,ETC-USDT
this_week,,1,1,linear,1000,TRX,1675411200000,TRX-USDT,TRX-USDT-230203,FUTURES,75,1674202200745,1,1000000,1000000,2000,2000,1000000,1000000,1,,,USDT,live,,0.00001,TRX-USDT
next_week,,1,1,linear,1000,TRX,1676016000000,TRX-USDT,TRX-USDT-230210,FUTURES,75,1674807000583,1,1000000,1000000,2000,2000,1000000,1000000,1,,,USDT,live,,0.00001,TRX-USDT
quarter,,1,1,linear,1000,TRX,1680249600000,TRX-USDT,TRX-USDT-230331,FUTURES,75,1663315800140,1,1000000,1000000,2000,2000,1000000,1000000,1,,,USDT,live,,0.00001,TRX-USDT
next_quarter,,1,1,linear,1000,TRX,1688112000000,TRX-USDT,TRX-USDT-230630,FUTURES,75,1671178200586,1,1000000,1000000,2000,2000,1000000,1000000,1,,,USDT,live,,0.00001,TRX-USDT
this_week,,1,1,linear,100,XRP,1675411200000,XRP-USDT,XRP-USDT-230203,FUTURES,75,1674202200723,1,1000000,1000000,3000,3000,1000000,1000000,1,,,USDT,live,,0.00001,XRP-USDT
next_week,,1,1,linear,100,XRP,1676016000000,XRP-USDT,XRP-USDT-230210,FUTURES,75,1674807000888,1,1000000,1000000,3000,3000,1000000,1000000,1,,,USDT,live,,0.00001,XRP-USDT
quarter,,1,1,linear,100,XRP,1680249600000,XRP-USDT,XRP-USDT-230331,FUTURES,75,1663315800499,1,1000000,1000000,3000,3000,1000000,1000000,1,,,USDT,live,,0.00001,XRP-USDT
next_quarter,,1,1,linear,100,XRP,1688112000000,XRP-USDT,XRP-USDT-230630,FUTURES,75,1671178200932,1,1000000,1000000,3000,3000,1000000,1000000,1,,,USDT,live,,0.00001,XRP-USDT
